aalib 1.4rc5-12
haskell-parser-combinators 1.0.0-3
haskell-path 0.6.1-71
haskell-path-io 1.4.0-17
haskell-path-pieces 0.2.1-15
haskell-pem 0.2.4-32
haskell-persistent 2.8.2-95
haskell-persistent-sqlite 2.8.2-41
haskell-persistent-template 2.5.4-121
haskell-pid1 0.1.2.0-7
haskell-polyparse 1.12.1-1
haskell-prelude-extras 0.4.0.3-9
haskell-primitive 0.6.4.0-2
haskell-profunctors 5.3-17
haskell-project-template 0.2.0.1-99
haskell-quickcheck 2.11.3-5
haskell-quickcheck-io 0.2.0-13
haskell-random 1.1-13
haskell-refact 0.3.0.2-10
haskell-regex-applicative 0.3.3-9
haskell-regex-applicative-text 0.1.0.1-11
haskell-resolv 0.1.1.1-16
haskell-resource-pool 0.2.3.2-51
haskell-resourcet 1.2.2-5
haskell-retry 0.7.7.0-15
haskell-rio 0.1.5.0-15
haskell-safe 0.3.17-3
haskell-scientific 0.3.6.2-8
haskell-semigroupoids 5.3.1-21
haskell-semigroups 0.18.4-1
haskell-setenv 0.1.1.3-10
haskell-shelly 1.8.1-31
haskell-silently 1.2.5-10
haskell-smallcheck 1.1.5-2
haskell-socks 0.5.6-40
haskell-split 0.2.3.3-6
haskell-src-exts 1.20.3-7
haskell-src-exts-util 0.2.3-28
haskell-src-meta 0.8.0.3-25
haskell-statevar 1.1.1.1-2
haskell-stm-chans 3.0.0.4-12
haskell-store 0.4.3.2-159
haskell-store-core 0.4.4-2
haskell-streaming-commons 0.2.1.0-12
haskell-syb 0.7-7
haskell-system-fileio 0.3.16.4-5
haskell-system-filepath 0.4.14-10
haskell-tagged 0.8.6-2
haskell-tar 0.5.1.0-4
haskell-temporary 1.3-15
haskell-text-metrics 0.3.0-11
haskell-tf-random 0.5-20
haskell-th-abstraction 0.2.8.0-2
haskell-th-expand-syns 0.4.4.0-4
haskell-th-lift 0.7.11-2
haskell-th-lift-instances 0.1.11-22
haskell-th-orphans 0.13.6-14
haskell-th-reify-many 0.1.8-11
haskell-th-utilities 0.2.0.1-61
haskell-time-locale-compat 0.1.1.5-2
haskell-tls 1.4.1-48
haskell-transformers-base 0.4.5.2-21
haskell-transformers-compat 0.6.2-3
haskell-typed-process 0.2.3.0-8
haskell-unicode-transforms 0.3.4-4
haskell-uniplate 1.6.12-33
haskell-unix-compat 0.5.1-2
haskell-unix-time 0.3.8-4
haskell-unliftio 0.2.8.1-6
haskell-unliftio-core 0.1.2.0-2
haskell-unordered-containers 0.2.9.0-13
haskell-uri-bytestring 0.3.2.1-4
